docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
000-000-1462632056;000-000;140-105;1017;105-140;750;053-088;607;153
000-000-1462632057;000-000;053-088;832;035-105;564;053-140;416;110
000-000-1462632058;000-000;053-088;743;140-105;717;070-088;574;155
000-000-1462632059;000-000;140-035;708;053-088;636;105-000;610;95
000-000-1462632060;000-000;140-035;588;053-088;584;070-088;582;193
000-000-1462632061;000-000;105-140;662;053-088;656;140-105;645;174
000-000-1462632062;000-000;053-123;927;070-088;628;053-088;571;211
000-000-1462632063;000-000;053-088;801;070-088;575;140-105;566;140
000-000-1462632064;000-000;053-088;748;140-105;564;105-000;497;141
000-000-1462632065;000-000;140-105;715;053-123;650;070-088;575;228
000-000-1462632066;000-000;140-105;841;053-088;717;140-035;660;138
000-000-1462632067;000-000;053-088;677;140-105;674;105-000;577;172
000-000-1462632068;000-000;053-123;684;053-088;581;105-000;565;251
000-000-1462632069;000-000;140-035;712;053-088;611;070-088;608;230
000-000-1462632070;000-000;140-105;768;070-088;639;053-088;621;157
000-000-1462632071;000-000;140-105;901;140-035;609;053-088;593;191
000-000-1462632072;000-000;105-070;739;053-088;739;140-035;622;169
000-000-1462632073;000-000;140-035;685;140-105;579;070-088;562;253
000-000-1462632074;000-000;140-035;711;070-088;595;140-105;523;156
000-000-1462632075;000-000;070-088;651;053-088;626;140-105;534;175
000-000-1462632076;000-000;070-088;705;140-105;667;053-088;652;212
000-000-1462632077;000-000;053-088;622;140-105;598;105-000;513;192
000-000-1462632078;000-000;053-088;618;105-000;565;105-140;545;211
000-000-1462632079;000-000;140-105;754;140-035;679;053-088;631;189
000-000-1462632080;000-000;140-035;855;140-105;697;070-088;593;173
000-000-1462632081;000-000;140-105;770;140-035;668;053-088;629;174
000-000-1462632082;000-000;140-105;1053;140-035;610;053-088;600;137
000-000-1462632083;000-000;053-088;635;105-000;578;140-035;503;192
000-000-1462632084;000-000;140-105;772;053-088;742;105-140;737;156
000-000-1462632085;000-000;105-140;734;070-088;689;053-088;571;139
000-000-1462632086;000-000;140-105;767;105-140;681;053-088;601;212
000-000-1462632087;000-000;140-105;752;140-035;662;105-105;637;371
000-000-1462632088;000-000;140-035;768;140-105;665;053-123;576;453
