docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
075-038-000-000-1463738510;000-000;060-050;710;045-050;639;135-025;626;3717
075-038-000-000-1463738520;000-000;045-050;748;060-050;662;090-025;650;3713
075-038-000-000-1463738530;000-000;045-050;775;075-025;680;038-038;646;3385
075-038-000-000-1463738540;000-000;068-038;764;060-050;680;083-038;662;4405
075-038-000-000-1463738550;000-000;068-038;819;098-038;726;060-050;686;4222
075-038-000-000-1463738560;000-000;060-050;667;083-038;665;068-038;660;3714
075-038-000-000-1463738570;000-000;045-050;753;060-050;683;090-025;644;3963
075-038-000-000-1463738580;000-000;045-050;768;038-038;687;090-025;636;3956
075-038-000-000-1463738590;000-000;045-050;704;135-025;675;038-038;668;3400
075-038-000-000-1463738600;000-000;045-050;754;060-050;708;090-025;641;3381
075-038-000-000-1463738610;000-000;135-025;670;060-050;650;083-038;631;3808
075-038-000-000-1463738620;000-000;045-050;801;038-038;657;105-050;636;3149
