docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
135-038-000-000-1463738660;000-000;180-050;744;183-038;704;135-025;662;1564
135-038-000-000-1463738670;000-000;135-025;705;120-025;672;143-038;659;1562
135-038-000-000-1463738680;000-000;143-038;762;158-038;714;105-025;713;1958
135-038-000-000-1463738690;000-000;158-038;779;180-050;747;183-038;691;1622
135-038-000-000-1463738700;000-000;143-038;762;120-025;741;135-025;708;1668
135-038-000-000-1463738710;000-000;180-050;734;135-025;729;120-025;665;1514
135-038-000-000-1463738720;000-000;105-025;786;143-038;754;120-025;710;1727
135-038-000-000-1463738730;000-000;120-025;714;180-050;710;143-038;705;1786
135-038-000-000-1463738740;000-000;135-025;766;180-050;737;143-038;670;1569
135-038-000-000-1463738750;000-000;183-038;755;143-038;728;158-038;708;1847
135-038-000-000-1463738760;000-000;135-025;723;180-050;717;120-025;714;1619
135-038-000-000-1463738770;000-000;135-025;731;143-038;725;120-025;714;1845
135-038-000-000-1463738780;000-000;120-025;745;135-025;716;180-050;684;1511
135-038-000-000-1463738790;000-000;158-038;718;183-038;702;143-038;700;1609
135-038-000-000-1463738800;000-000;135-025;760;165-025;723;180-025;681;1564
135-038-000-000-1463738810;000-000;180-050;761;135-025;745;105-050;660;1510
135-038-000-000-1463738820;000-000;183-038;702;120-025;701;165-050;680;1618
135-038-000-000-1463738830;000-000;120-025;789;143-038;748;183-038;718;1960
135-038-000-000-1463738840;000-000;135-025;710;183-038;688;120-025;656;1677
135-038-000-000-1463738850;000-000;135-025;764;120-025;738;165-050;672;1407
135-038-000-000-1463738860;000-000;120-025;760;180-050;707;135-025;676;1623
135-038-000-000-1463738870;000-000;135-025;790;105-050;715;180-050;688;1515
135-038-000-000-1463738880;000-000;120-025;801;143-038;712;135-025;690;1787
135-038-000-000-1463738890;000-000;180-050;841;135-025;744;180-025;655;1356
135-038-000-000-1463738900;000-000;135-025;723;143-038;686;120-025;674;1673
135-038-000-000-1463738910;000-000;180-050;682;165-025;674;105-050;666;1509
135-038-000-000-1463738920;000-000;165-050;742;120-025;726;183-038;717;1786
135-038-000-000-1463738930;000-000;120-025;779;183-038;761;150-100;691;1897
135-038-000-000-1463738940;000-000;183-038;820;180-050;702;158-038;692;1672
135-038-000-000-1463738950;000-000;120-025;740;180-050;718;135-025;685;1616
135-038-000-000-1463738960;000-000;120-025;704;180-050;673;135-025;671;1732
135-038-000-000-1463738970;000-000;180-050;712;135-025;656;105-050;640;1512
135-038-000-000-1463738980;000-000;180-050;756;120-025;673;143-038;673;1507
135-038-000-000-1463738990;000-000;158-038;742;180-050;702;143-038;670;1666
135-038-000-000-1463739000;000-000;105-050;657;120-025;649;135-025;616;463
105-038-000-000-1463738340;000-000;075-025;782;135-025;637;060-050;635;1626
105-038-000-000-1463738350;000-000;098-038;778;105-025;721;120-050;710;2092
105-038-000-000-1463738360;000-000;075-025;800;105-025;703;135-025;672;1737
