docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
B103-128-013-1463737070;128-013;135-025;741;120-100;734;113-038;683;528
B109-038-038-1463737820;038-038;038-038;699;053-013;679;015-025;664;645
B109-030-100-1463734570;030-100;030-100;920;090-100;691;053-013;653;446
B107-150-100-1463734130;150-100;150-100;790;143-038;672;135-075;649;520
B109-038-038-1463737640;038-038;038-038;705;053-013;693;045-025;685;622
X20-165-075-1463734460;165-075;165-075;1257;090-100;685;150-100;680;732
X2-135-025-1463734660;135-025;120-100;815;135-025;726;105-025;678;476
B101-158-038-1463738090;158-038;158-038;864;135-025;686;128-038;654;561
MB276-150-050-1463737020;150-050;150-050;1366;173-038;686;053-013;686;922
B106-000-050-1463734520;000-050;000-050;957;015-050;753;038-038;638;604
B103-180-050-1463734970;180-050;135-025;746;180-050;702;113-038;693;467
MB276-150-050-1463737720;150-050;135-075;723;150-050;707;173-038;699;840
B103-128-038-1463737740;128-038;158-038;803;135-025;712;150-025;676;535
X22-105-075-1463734710;105-075;105-075;805;128-038;705;053-013;701;754
B16-120-000-1463737720;120-000;120-000;1054;165-050;683;143-013;683;907
B14-000-100-1463734420;000-100;000-100;1366;105-050;668;053-013;663;996
B103-128-038-1463738150;128-038;113-038;682;135-025;675;143-013;674;587
B102-030-000-1463734170;030-000;030-000;1582;053-013;668;090-100;666;845
B105-098-038-1463737760;098-038;053-013;715;113-013;694;143-013;682;560
X23-075-000-1463736980;075-000;068-038;771;053-013;723;075-000;681;622
X5-090-025-1463737500;090-025;090-100;728;053-013;717;060-050;700;477
X25-015-075-1463733940;015-075;015-075;1290;000-050;740;045-075;661;782
X24-045-000-1463736820;045-000;053-013;743;045-000;681;068-038;670;691
X25-015-075-1463734390;015-075;015-075;1136;000-050;722;053-013;646;707
X8-023-013-1463736820;023-013;015-050;735;023-013;705;045-025;688;648
X23-075-075-1463734410;075-075;045-075;809;075-075;730;090-100;705;593
X5-090-025-1463737610;090-025;053-013;735;105-050;711;090-025;699;480
X1-180-025-1463737450;180-025;173-013;702;165-050;690;143-013;687;829
MB508-030-050-1463738080;030-050;030-050;740;053-013;735;045-025;678;626
B14-000-100-1463733830;000-100;000-100;1367;105-050;672;038-038;669;1022
B11-180-000-1463737750;180-000;180-000;1437;143-013;680;053-013;672;1276
X21-135-075-1463735010;135-075;180-050;707;143-013;699;143-038;690;645
X7-183-013-1463736930;183-013;183-013;702;150-025;684;180-025;671;576
MB276-150-050-1463733920;150-050;150-050;1313;165-075;798;105-075;698;963
X4-075-025-1463736570;075-025;053-013;721;105-050;697;075-025;689;503
B107-068-038-1463737810;068-038;068-038;843;030-050;714;053-013;698;747
X7-183-013-1463737020;183-013;165-025;724;143-013;704;180-025;679;629
B108-053-038-1463737730;053-038;083-013;725;053-013;700;038-038;678;653
B103-180-050-1463734230;180-050;180-050;782;120-100;705;143-038;694;550
B17-060-000-1463738190;060-000;060-000;1053;053-013;694;083-013;672;820
